Date,Maximum,Minimum,Average,Precipitation,Weekday,weekday_num,Dispatched_calls
2016-09-01,68,58,63.0,0.0,Thursday,3,347
2016-09-02,71,55,63.0,0.0,Friday,4,401
2016-09-03,66,57,61.5,0.0,Saturday,5,341
2016-09-04,67,56,61.5,0.0,Sunday,6,317
2016-09-05,72,53,62.5,0.0,Monday,0,328
2016-09-06,84,54,69.0,0.0,Tuesday,1,410
2016-09-07,88,58,73.0,0.0,Wednesday,2,351
2016-09-08,73,57,65.0,0.0,Thursday,3,322
2016-09-09,67,56,61.5,0.0,Friday,4,324
2016-09-10,67,55,61.0,0.0,Saturday,5,327
2016-09-11,71,55,63.0,0.0,Sunday,6,323
2016-09-12,66,54,60.0,0.0,Monday,0,299
2016-09-13,71,56,63.5,0.0,Tuesday,1,345
2016-09-14,74,56,65.0,0.0,Wednesday,2,329
2016-09-15,65,55,60.0,0.0,Thursday,3,324
2016-09-16,69,55,62.0,0.0,Friday,4,377
2016-09-17,71,53,62.0,0.0,Saturday,5,381
2016-09-18,88,56,72.0,0.0,Sunday,6,424
2016-09-19,85,61,73.0,0.0,Monday,0,372
2016-09-20,73,58,65.5,0.0,Tuesday,1,339
2016-09-21,66,57,61.5,0.0,Wednesday,2,372
2016-09-22,68,56,62.0,0.0,Thursday,3,316
2016-09-23,73,52,62.5,0.0,Friday,4,394
2016-09-24,82,58,70.0,0.0,Saturday,5,423
2016-09-25,94,58,76.0,0.0,Sunday,6,417
2016-09-26,93,63,78.0,0.0,Monday,0,372
2016-09-27,79,56,67.5,0.0,Tuesday,1,321
2016-09-28,68,55,61.5,0.0,Wednesday,2,359
2016-09-29,63,54,58.5,0.0,Thursday,3,315
2016-09-30,65,54,59.5,0.0,Friday,4,353
2016-10-01,69,54,61.5,0.0,Saturday,5,412
2016-10-02,68,56,62.0,,Sunday,6,350
2016-10-03,65,54,59.5,,Monday,0,337
2016-10-04,70,57,63.5,0.0,Tuesday,1,351
2016-10-05,70,54,62.0,0.0,Wednesday,2,323
2016-10-06,75,53,64.0,0.0,Thursday,3,356
2016-10-07,84,54,69.0,0.0,Friday,4,413
2016-10-08,84,57,70.5,0.0,Saturday,5,448
2016-10-09,80,53,66.5,0.0,Sunday,6,375
2016-10-10,71,52,61.5,0.0,Monday,0,353
2016-10-11,68,55,61.5,0.0,Tuesday,1,373
2016-10-12,60,55,57.5,0.0,Wednesday,2,315
2016-10-13,72,55,63.5,0.0,Thursday,3,321
2016-10-14,68,58,63.0,0.23,Friday,4,315
2016-10-15,72,56,64.0,0.4,Saturday,5,352
2016-10-16,66,62,64.0,0.67,Sunday,6,293
2016-10-17,69,58,63.5,0.0,Monday,0,318
2016-10-18,69,56,62.5,0.0,Tuesday,1,341
2016-10-19,74,53,63.5,0.0,Wednesday,2,348
2016-10-20,78,54,66.0,0.0,Thursday,3,377
2016-10-21,73,57,65.0,0.0,Friday,4,355
2016-10-22,67,56,61.5,0.0,Saturday,5,337
2016-10-23,66,51,58.5,0.0,Sunday,6,319
2016-10-24,69,60,64.5,0.03,Monday,0,294
2016-10-25,71,62,66.5,0.04,Tuesday,1,324
2016-10-26,72,58,65.0,0.0,Wednesday,2,379
2016-10-27,65,60,62.5,0.58,Thursday,3,332
2016-10-28,67,61,64.0,0.26,Friday,4,357
2016-10-29,70,61,65.5,0.02,Saturday,5,349
2016-10-30,67,57,62.0,0.52,Sunday,6,350
2016-10-31,66,54,60.0,0.03,Monday,0,332
2016-11-01,64,53,58.5,0.02,Tuesday,1,362
2016-11-02,69,51,60.0,0.0,Wednesday,2,339
2016-11-03,71,53,62.0,0.0,Thursday,3,421
2016-11-04,72,55,63.5,0.0,Friday,4,385
2016-11-05,66,53,59.5,0.0,Saturday,5,377
2016-11-06,67,60,63.5,0.0,Sunday,6,383
2016-11-07,69,57,63.0,0.0,Monday,0,333
2016-11-08,72,57,64.5,0.0,Tuesday,1,360
2016-11-09,75,57,66.0,0.0,Wednesday,2,364
2016-11-10,73,57,65.0,0.0,Thursday,3,327
2016-11-11,69,57,63.0,0.0,Friday,4,395
2016-11-12,70,57,63.5,0.0,Saturday,5,366
2016-11-13,68,54,61.0,0.0,Sunday,6,315
2016-11-14,63,54,58.5,0.0,Monday,0,297
2016-11-15,65,56,60.5,,Tuesday,1,340
2016-11-16,61,50,55.5,0.0,Wednesday,2,379
2016-11-17,61,46,53.5,0.0,Thursday,3,340
2016-11-18,67,46,56.5,0.0,Friday,4,388
2016-11-19,61,55,58.0,0.59,Saturday,5,362
2016-11-20,60,54,57.0,0.2,Sunday,6,313
2016-11-21,61,52,56.5,0.0,Monday,0,343
2016-11-22,60,47,53.5,0.02,Tuesday,1,338
2016-11-23,61,50,55.5,0.03,Wednesday,2,294
2016-11-24,59,44,51.5,0.0,Thursday,3,265
2016-11-25,58,45,51.5,0.0,Friday,4,310
2016-11-26,56,51,53.5,0.51,Saturday,5,318
2016-11-27,59,51,55.0,0.11,Sunday,6,286
2016-11-28,61,51,56.0,,Monday,0,331
2016-11-29,61,44,52.5,0.0,Tuesday,1,306
2016-11-30,56,45,50.5,0.06,Wednesday,2,317
2016-12-01,60,44,52.0,0.0,Thursday,3,353
2016-12-02,62,49,55.5,0.0,Friday,4,432
2016-12-03,62,44,53.0,0.0,Saturday,5,401
2016-12-04,59,45,52.0,0.0,Sunday,6,339
2016-12-05,55,50,52.5,0.0,Monday,0,364
2016-12-06,56,43,49.5,0.0,Tuesday,1,372
2016-12-07,51,42,46.5,0.44,Wednesday,2,350
2016-12-08,61,49,55.0,1.32,Thursday,3,384
2016-12-09,63,56,59.5,0.04,Friday,4,395
2016-12-10,61,52,56.5,0.64,Saturday,5,408
2016-12-11,54,47,50.5,0.0,Sunday,6,368
2016-12-12,55,49,52.0,0.0,Monday,0,436
2016-12-13,55,50,52.5,0.05,Tuesday,1,347
2016-12-14,62,52,57.0,,Wednesday,2,400
2016-12-15,61,51,56.0,1.49,Thursday,3,339
2016-12-16,54,45,49.5,0.0,Friday,4,380
2016-12-17,52,38,45.0,0.0,Saturday,5,361
2016-12-18,53,37,45.0,0.0,Sunday,6,306
2016-12-19,55,36,45.5,0.0,Monday,0,357
2016-12-20,56,40,48.0,0.0,Tuesday,1,329
2016-12-21,62,45,53.5,0.0,Wednesday,2,381
2016-12-22,58,42,50.0,0.0,Thursday,3,389
2016-12-23,57,47,52.0,0.62,Friday,4,376
2016-12-24,52,43,47.5,0.03,Saturday,5,328
2016-12-25,53,37,45.0,0.0,Sunday,6,288
2016-12-26,53,41,47.0,0.0,Monday,0,302
2016-12-27,53,39,46.0,0.0,Tuesday,1,327
2016-12-28,58,40,49.0,0.0,Wednesday,2,340
2016-12-29,58,41,49.5,0.0,Thursday,3,361
2016-12-30,56,43,49.5,0.0,Friday,4,369
2016-12-31,53,44,48.5,,Saturday,5,382
2017-01-01,54,46,50.0,0.05,Sunday,6,505
2017-01-02,52,44,48.0,0.18,Monday,0,327
2017-01-03,59,48,53.5,0.64,Tuesday,1,400
2017-01-04,59,47,53.0,0.49,Wednesday,2,400
2017-01-05,51,41,46.0,0.0,Thursday,3,405
2017-01-06,49,38,43.5,,Friday,4,358
2017-01-07,62,44,53.0,0.84,Saturday,5,366
2017-01-08,64,54,59.0,1.28,Sunday,6,341
2017-01-09,59,53,56.0,0.27,Monday,0,373
2017-01-10,60,56,58.0,1.82,Tuesday,1,385
2017-01-11,58,50,54.0,0.04,Wednesday,2,374
2017-01-12,52,45,48.5,0.3,Thursday,3,370
2017-01-13,57,40,48.5,0.0,Friday,4,384
2017-01-14,58,40,49.0,0.0,Saturday,5,360
2017-01-15,52,41,46.5,0.0,Sunday,6,343
2017-01-16,54,44,49.0,0.0,Monday,0,360
2017-01-17,52,41,46.5,0.0,Tuesday,1,357
2017-01-18,55,49,52.0,0.9,Wednesday,2,334
2017-01-19,58,51,54.5,0.05,Thursday,3,345
2017-01-20,56,43,49.5,1.19,Friday,4,339
2017-01-21,56,48,52.0,0.28,Saturday,5,356
2017-01-22,57,47,52.0,0.68,Sunday,6,305
2017-01-23,54,45,49.5,0.32,Monday,0,372
2017-01-24,54,41,47.5,0.0,Tuesday,1,374
2017-01-25,56,41,48.5,0.0,Wednesday,2,360
2017-01-26,56,43,49.5,0.0,Thursday,3,350
2017-01-27,58,41,49.5,0.0,Friday,4,373
2017-01-28,59,41,50.0,0.0,Saturday,5,355
2017-01-29,60,41,50.5,0.0,Sunday,6,352
2017-01-30,60,42,51.0,0.0,Monday,0,326
